id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-421,2023-01-05,000001,Vente,205000,5000,,RTE DES COMIERES,0035,01190,01323,Reyssouze,01,,,01323000AO0285,,,,,,,,,,,,,0,1,Maison,96,3,AB,terrains a bâtir,,,452,4.924007,46.437417
2023-421,2023-01-05,000001,Vente,205000,,,CURTIL MOREL,B045,01190,01323,Reyssouze,01,,,01323000AO0287,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,170,4.92378,46.437442
2023-422,2023-01-04,000001,Vente en l'état futur d'achèvement,270000,,,LA COTE,B039,01800,01244,Meximieux,01,,,012440000C2238,,,,,,,,,,,,,0,,,,,P,prés,,,178,5.198755,45.914873
2023-423,2023-01-16,000001,Vente,85000,,,VAUDRENAND,B185,01660,01246,Mézériat,01,,,012460000A1836,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1208,5.033932,46.245833
2023-424,2023-01-18,000001,Vente,350000,,,EN PONTOUX,B055,01630,01078,Challex,01,,,010780000B1138,,,,,,,,,,,,,0,,,,,T,terres,,,572,5.97938,46.181591
2023-424,2023-01-18,000001,Vente,350000,,,EN PONTOUX,B055,01630,01078,Challex,01,,,010780000B1140,,,,,,,,,,,,,0,,,,,P,prés,,,428,5.979676,46.181416
2023-425,2023-01-25,000001,Vente,360000,197,A,RUE DE SAINT ALBAN,0550,01120,01049,La Boisse,01,,,01049000AB0668,,,,,,,,,,,,,0,1,Maison,100,4,S,sols,,,345,5.030705,45.844644
2023-425,2023-01-25,000001,Vente,360000,,,MONTESSUY,B060,01120,01049,La Boisse,01,,,01049000AB0672,,,,,,,,,,,,,0,,,,,S,sols,,,133,5.0307,45.84453
2023-426,2023-01-30,000001,Vente,579375,95,,ALL DES ORMES,0182,01630,01354,Saint-Genis-Pouilly,01,,,01354000BD0354,,,13,,,,,,,,,,1,2,Appartement,133,4,,,,,,6.017088,46.246134
2023-426,2023-01-30,000001,Vente,579375,95,,ALL DES ORMES,0182,01630,01354,Saint-Genis-Pouilly,01,,,01354000BD0354,,,8,31.2,,,,,,,,,1,3,Dépendance,,0,,,,,,6.017088,46.246134
2023-427,2023-01-20,000001,Vente,480000,157,,CHE VIE DE VAISE,0105,01170,01399,Ségny,01,,,01399000AB0151,,,,,,,,,,,,,0,1,Maison,108,6,S,sols,,,414,6.073268,46.297561
